   COUNTER       MIN       MAX       AVG  DIFFTIME
         3   3208885   3208885   3208885   3208885
         7   3208885   4224254   3716569   4224254
        10   3208885   4224254   3579026   3303941
        14   3208885   4224254   3738200   4215721
        17   3204969   4224254   3631554   3204969
        21   3204969   4239937   3732951   4239937
        25   3204969   4293799   3813072   4293799
        28   3182676   4293799   3734272   3182676
        31   3182676   4293799   3679550   3241772
        34   3182676   4293799   3631436   3198413
        38   3182676   4293799   3683101   4199748
        42   3182676   4293799   3730342   4249996
        45   3182676   4293799   3690122   3207475
        48   3170976   4293799   3653040   3170976
        52   3170976   4293799   3693908   4266059
        56   3170976   4293799   3727132   4225498
        60   3170976   4293799   3756582   4227788
        63   3170976   4293799   3726278   3211108
        66   3162961   4293799   3696630   3162961
        70   3162961   4308514   3727224   4308514
        73   3162961   4308514   3700421   3164367
        77   3162961   4308514   3727188   4289287
        80   3162961   4308514   3703153   3174392
        83   3157228   4308514   3680406   3157228
        87   3157228   4331473   3706449   4331473
        90   3157228   4331473   3690671   3296217
        93   3157228   4331473   3671558   3174626
        97   3157228   4331473   3692734   4264497
       101   3157228   4331473   3712197   4257147
       104   3157228   4331473   3694982   3195749
       108   3157228   4331473   3712945   4251841
       111   3157228   4331473   3697650   3223514
       115   3157228   4331473   3715644   4291432
       118   3157228   4331473   3710636   3545365
       121   3157228   4331473   3696601   3219420
       125   3157228   4480247   3718369   4480247
       128   3157228   4480247   3704182   3193462
       131   3157228   4480247   3695182   3362168
       135   3157228   4480247   3713673   4416349
